system:time_start,blue,coastal,green,nir,red,sensor,swir22
"Jun 26, 1984",0.055,1,0.034,0.028,0.027,1,0.012
"Jul 28, 1984",0.046,1,0.032,0.024,0.023,1,0.002
"Nov 17, 1984",,1,,,,1,
"Dec 19, 1984",0.045,1,0.04,0.025,0.027,1,-0.003
"Jan 20, 1985",0.034,1,0.038,0.041,0.025,1,0.001
"Apr 10, 1985",0.037,1,0.027,0.02,0.015,1,0.005
"May 12, 1985",0.03,1,0.021,0.012,0.011,1,0.002
"Jun 29, 1985",0.047,1,0.034,0.03,0.028,1,0.012
"Jul 31, 1985",0.059,1,0.036,0.028,0.027,1,0.005
"Aug 16, 1985",0.029,1,0.014,0.01,0.01,1,0.002
"Sep 1, 1985",,1,,,,1,
"Sep 17, 1985",,1,,,,1,
"Oct 3, 1985",0.026,1,0.013,0.009,0.007,1,-0.002
"Nov 20, 1985",,1,,,,1,
"Jan 7, 1986",0.122,1,0.119,0.111,0.11,1,0.057
"Feb 8, 1986",0.036,1,0.028,0.019,0.019,1,-0.002
"Feb 24, 1986",0.019,1,0.009,0.007,0.001,1,-0.003
"Mar 12, 1986",,1,,,,1,
"Mar 28, 1986",,1,,,,1,
"Apr 13, 1986",0.07,1,0.059,0.047,0.049,1,0.014
"Apr 29, 1986",0.076,1,0.058,0.042,0.045,1,0.012
"May 15, 1986",0.032,1,0.024,0.015,0.014,1,0.002
"May 31, 1986",0.039,1,0.028,0.023,0.018,1,0.009
"Jun 16, 1986",,1,,,,1,
"Jul 2, 1986",0.053,1,0.041,0.039,0.035,1,0.019
"Jul 18, 1986",,1,,,,1,
"Aug 3, 1986",0.037,1,0.022,0.015,0.011,1,0.002
"Aug 19, 1986",0.027,1,0.013,0.01,0.006,1,-0.001
"Sep 20, 1986",,1,,,,1,
"Oct 6, 1986",0.028,1,0.014,0.009,0.007,1,-0.002
"Oct 22, 1986",0.031,1,0.017,0.009,0.013,1,-0.002
"Nov 7, 1986",,1,,,,1,
"Dec 9, 1986",0.024,1,0.014,0.013,0.005,1,-0.003
"Dec 25, 1986",,1,,,,1,
"Jan 10, 1987",0.054,1,0.04,0.036,0.035,1,0.015
"Jan 26, 1987",,1,,,,1,
"Feb 27, 1987",0.073,1,0.065,0.061,0.054,1,0.019
"Mar 15, 1987",0.056,1,0.039,0.019,0.028,1,0.002
"Mar 31, 1987",0.092,1,0.081,0.076,0.071,1,0.027
"Apr 16, 1987",0.035,1,0.021,0.014,0.013,1,0.002
"May 18, 1987",0.036,1,0.022,0.017,0.015,1,0.002
"Jun 19, 1987",0.055,1,0.047,0.05,0.04,1,0.029
"Aug 22, 1987",0.034,1,0.022,0.018,0.017,1,0.002
"Sep 7, 1987",0.03,1,0.016,0.012,0.008,1,0.002
"Sep 23, 1987",0.036,1,0.024,0.015,0.014,1,0.002
"Oct 9, 1987",0.074,1,0.057,0.05,0.05,1,0.022
"Oct 25, 1987",0.026,1,0.016,0.01,0.008,1,-0.002
"Mar 17, 1988",0.038,1,0.026,0.017,0.018,1,0.003
"May 4, 1988",,1,,,,1,
"May 20, 1988",0.028,1,0.014,0.008,0.008,1,0.002
"Jul 7, 1988",0.032,1,0.013,0.011,0.007,1,0.002
"Jul 23, 1988",0.027,1,0.011,0.009,0.005,1,-0.001
"Aug 8, 1988",0.03,1,0.012,0.01,0.006,1,0.002
"Aug 24, 1988",0.03,1,0.014,0.01,0.009,1,0.002
"Sep 9, 1988",0.026,1,0.012,0.01,0.007,1,-0.001
"Sep 25, 1988",0.033,1,0.019,0.012,0.013,1,0.003
"Oct 11, 1988",0.036,1,0.02,0.016,0.013,1,0.003
"Oct 27, 1988",,1,,,,1,
"Jan 15, 1989",,1,,,,1,
"Mar 20, 1989",0.05,1,0.037,0.03,0.029,1,0.007
"Apr 5, 1989",0.031,1,0.017,0.009,0.009,1,-0.002
"May 7, 1989",0.032,1,0.021,0.012,0.014,1,0.002
"May 23, 1989",,1,,,,1,
"Jun 8, 1989",0.034,1,0.02,0.012,0.014,1,0.002
"Jun 24, 1989",0.029,1,0.014,0.008,0.008,1,0.002
"Jul 10, 1989",0.029,1,0.014,0.009,0.008,1,0.002
"Jul 26, 1989",0.038,1,0.029,0.02,0.018,1,0.006
"Aug 11, 1989",0.034,1,0.018,0.012,0.011,1,0.006
"Sep 12, 1989",0.027,1,0.013,0.011,0.008,1,0.003
"Sep 28, 1989",0.031,1,0.017,0.015,0.011,1,0.003
"Oct 14, 1989",0.027,1,0.016,0.01,0.012,1,-0.002
"Oct 30, 1989",0.026,1,0.014,0.013,0.01,1,0.003
"Dec 1, 1989",,1,,,,1,
"Dec 17, 1989",0.025,1,0.021,0.009,0.004,1,-0.003
"Jan 18, 1990",0.034,1,0.021,0.016,0.011,1,-0.003
"Feb 19, 1990",0.056,1,0.046,0.04,0.037,1,0.01
"Mar 23, 1990",0.038,1,0.025,0.017,0.018,1,0.003
"Apr 8, 1990",0.029,1,0.018,0.014,0.012,1,0.006
"Apr 24, 1990",0.055,1,0.045,0.036,0.037,1,0.013
"May 10, 1990",,1,,,,1,
"May 26, 1990",,1,,,,1,
"Jun 11, 1990",0.036,1,0.023,0.018,0.016,1,0.005
"Jun 27, 1990",0.04,1,0.025,0.018,0.015,1,0.009
"Aug 30, 1990",0.028,1,0.016,0.011,0.007,1,0.003
"Sep 15, 1990",,1,,,,1,
"Oct 1, 1990",,1,,,,1,
"Oct 17, 1990",,1,,,,1,
"Mar 26, 1991",,1,,,,1,
"Apr 11, 1991",0.044,1,0.033,0.02,0.023,1,0.002
"Apr 27, 1991",0.058,1,0.047,0.037,0.036,1,0.009
"Jun 14, 1991",0.031,1,0.014,0.009,0.008,1,0.002
"Jun 30, 1991",0.058,1,0.032,0.023,0.024,1,0.012
"Aug 1, 1991",0.029,1,0.015,0.012,0.008,1,0.002
"Aug 17, 1991",0.032,1,0.018,0.012,0.007,1,0.002
"Sep 2, 1991",0.03,1,0.014,0.01,0.006,1,0.002
"Sep 18, 1991",0.031,1,0.017,0.011,0.008,1,0.003
"Oct 4, 1991",0.028,1,0.013,0.013,0.01,1,0.003
"Oct 20, 1991",0.03,1,0.017,0.016,0.013,1,0.003
"Mar 28, 1992",0.062,1,0.058,0.064,0.051,1,0.015
"Apr 13, 1992",,1,,,,1,
"May 15, 1992",0.043,1,0.034,0.038,0.029,1,0.009
"May 31, 1992",0.035,1,0.023,0.021,0.015,1,0.002
"Jun 16, 1992",,1,,,,1,
"Jul 2, 1992",,1,,,,1,
"Jul 18, 1992",0.038,1,0.023,0.022,0.014,1,0.002
"Aug 3, 1992",0.038,1,0.022,0.023,0.016,1,0.002
"Aug 19, 1992",0.036,1,0.018,0.021,0.015,1,0.002
"Sep 4, 1992",,1,,,,1,
"Sep 20, 1992",0.029,1,0.015,0.017,0.013,1,0.003
"Oct 6, 1992",0.039,1,0.024,0.027,0.019,1,0.008
"Oct 22, 1992",0.023,1,0.013,0.015,0.008,1,0.008
"Nov 7, 1992",0.088,1,0.081,0.065,0.069,1,0.017
"Nov 23, 1992",0.073,1,0.065,0.059,0.055,1,0.005
"Dec 9, 1992",,1,,,,1,
"Dec 25, 1992",0.086,1,0.072,0.071,0.068,1,0.024
"Jan 10, 1993",0.222,1,0.218,0.203,0.211,1,0.091
"Jan 26, 1993",0.14,1,0.125,0.123,0.116,1,0.051
"Feb 11, 1993",,1,,,,1,
"Feb 27, 1993",0.051,1,0.039,0.035,0.035,1,0.003
"May 2, 1993",0.052,1,0.044,0.039,0.037,1,0.005
"May 18, 1993",,1,,,,1,
"Jun 3, 1993",0.046,1,0.037,0.036,0.032,1,0.008
"Jun 19, 1993",0.037,1,0.022,0.019,0.015,1,0.002
"Jul 5, 1993",0.033,1,0.018,0.012,0.011,1,0.002
"Aug 6, 1993",,1,,,,1,
"Sep 7, 1993",0.034,1,0.018,0.014,0.009,1,0.002
"Sep 23, 1993",0.028,1,0.012,0.012,0.01,1,0.003
"Oct 25, 1993",0.028,1,0.013,0.011,0.009,1,0.004
"Nov 10, 1993",,1,,,,1,
