system:time_start,blue,coastal,green,nir,red,sensor,swir22
"Jun 26, 1984","9,569","10,795","9,569","9,569","9,569","10,795","9,569"
"Jul 28, 1984","7,039","10,795","7,039","7,039","7,039","10,795","7,039"
"Nov 17, 1984",0,"10,795",0,0,0,"10,795",0
"Dec 19, 1984","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jan 20, 1985","9,429","10,795","9,429","9,429","9,429","10,795","9,429"
"Apr 10, 1985","10,793","10,795","10,793","10,793","10,793","10,795","10,793"
"May 12, 1985","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jun 29, 1985","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jul 31, 1985",9,"10,795",9,9,9,"10,795",9
"Aug 16, 1985","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Sep 1, 1985",0,"10,795",0,0,0,"10,795",0
"Sep 17, 1985",0,"10,795",0,0,0,"10,795",0
"Oct 3, 1985","10,735","10,795","10,735","10,735","10,735","10,795","10,735"
"Nov 20, 1985",0,"10,795",0,0,0,"10,795",0
"Jan 7, 1986","10,594","10,795","10,594","10,594","10,594","10,795","10,594"
"Feb 8, 1986","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Feb 24, 1986","9,881","10,795","9,881","9,881","9,881","10,795","9,881"
"Mar 12, 1986",0,"10,795",0,0,0,"10,795",0
"Mar 28, 1986",0,"10,795",0,0,0,"10,795",0
"Apr 13, 1986","4,857","10,795","4,857","4,857","4,857","10,795","4,857"
"Apr 29, 1986",599,"10,795",599,599,599,"10,795",599
"May 15, 1986","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"May 31, 1986","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jun 16, 1986",0,"10,795",0,0,0,"10,795",0
"Jul 2, 1986","5,952","10,795","5,952","5,952","5,952","10,795","5,952"
"Jul 18, 1986",0,"10,795",0,0,0,"10,795",0
"Aug 3, 1986","5,201","10,795","5,201","5,201","5,201","10,795","5,201"
"Aug 19, 1986","10,782","10,795","10,782","10,782","10,782","10,795","10,782"
"Sep 20, 1986",0,"10,795",0,0,0,"10,795",0
"Oct 6, 1986","10,756","10,795","10,756","10,756","10,756","10,795","10,756"
"Oct 22, 1986","10,780","10,795","10,780","10,780","10,780","10,795","10,780"
"Nov 7, 1986",0,"10,795",0,0,0,"10,795",0
"Dec 9, 1986","9,539","10,795","9,539","9,539","9,539","10,795","9,539"
"Dec 25, 1986",0,"10,795",0,0,0,"10,795",0
"Jan 10, 1987","10,384","10,795","10,384","10,384","10,384","10,795","10,384"
"Jan 26, 1987",0,"10,795",0,0,0,"10,795",0
"Feb 27, 1987",938,"10,795",938,938,938,"10,795",938
"Mar 15, 1987","2,312","10,795","2,312","2,312","2,312","10,795","2,312"
"Mar 31, 1987","5,004","10,795","5,004","5,004","5,004","10,795","5,004"
"Apr 16, 1987","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"May 18, 1987","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jun 19, 1987","1,695","10,795","1,695","1,695","1,695","10,795","1,695"
"Aug 22, 1987","6,826","10,795","6,826","6,826","6,826","10,795","6,826"
"Sep 7, 1987","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Sep 23, 1987","10,794","10,795","10,794","10,794","10,794","10,795","10,794"
"Oct 9, 1987","2,170","10,795","2,170","2,170","2,170","10,795","2,170"
"Oct 25, 1987","10,621","10,795","10,621","10,621","10,621","10,795","10,621"
"Mar 17, 1988","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"May 4, 1988",0,"10,795",0,0,0,"10,795",0
"May 20, 1988","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jul 7, 1988","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jul 23, 1988","10,777","10,795","10,777","10,777","10,777","10,795","10,777"
"Aug 8, 1988","10,790","10,795","10,790","10,790","10,790","10,795","10,790"
"Aug 24, 1988","10,780","10,795","10,780","10,780","10,780","10,795","10,780"
"Sep 9, 1988","10,748","10,795","10,748","10,748","10,748","10,795","10,748"
"Sep 25, 1988","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Oct 11, 1988","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Oct 27, 1988",0,"10,795",0,0,0,"10,795",0
"Jan 15, 1989",0,"10,795",0,0,0,"10,795",0
"Mar 20, 1989","10,139","10,795","10,139","10,139","10,139","10,795","10,139"
"Apr 5, 1989","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"May 7, 1989","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"May 23, 1989",0,"10,795",0,0,0,"10,795",0
"Jun 8, 1989","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jun 24, 1989","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jul 10, 1989","10,794","10,795","10,794","10,794","10,794","10,795","10,794"
"Jul 26, 1989","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Aug 11, 1989","9,675","10,795","9,675","9,675","9,675","10,795","9,675"
"Sep 12, 1989","10,764","10,795","10,764","10,764","10,764","10,795","10,764"
"Sep 28, 1989","10,787","10,795","10,787","10,787","10,787","10,795","10,787"
"Oct 14, 1989","10,770","10,795","10,770","10,770","10,770","10,795","10,770"
"Oct 30, 1989","10,431","10,795","10,431","10,431","10,431","10,795","10,431"
"Dec 1, 1989",0,"10,795",0,0,0,"10,795",0
"Dec 17, 1989","10,412","10,795","10,412","10,412","10,412","10,795","10,412"
"Jan 18, 1990","10,764","10,795","10,764","10,764","10,764","10,795","10,764"
"Feb 19, 1990","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Mar 23, 1990","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Apr 8, 1990","9,244","10,795","9,244","9,244","9,244","10,795","9,244"
"Apr 24, 1990","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"May 10, 1990",0,"10,795",0,0,0,"10,795",0
"May 26, 1990",0,"10,795",0,0,0,"10,795",0
"Jun 11, 1990","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jun 27, 1990","10,781","10,795","10,781","10,781","10,781","10,795","10,781"
"Aug 30, 1990","10,794","10,795","10,794","10,794","10,794","10,795","10,794"
"Sep 15, 1990",0,"10,795",0,0,0,"10,795",0
"Oct 1, 1990",0,"10,795",0,0,0,"10,795",0
"Oct 17, 1990",0,"10,795",0,0,0,"10,795",0
"Mar 26, 1991",0,"10,795",0,0,0,"10,795",0
"Apr 11, 1991","8,266","10,795","8,266","8,266","8,266","10,795","8,266"
"Apr 27, 1991","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jun 14, 1991","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jun 30, 1991",650,"10,795",650,650,650,"10,795",650
"Aug 1, 1991","10,794","10,795","10,794","10,794","10,794","10,795","10,794"
"Aug 17, 1991","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Sep 2, 1991","10,787","10,795","10,787","10,787","10,787","10,795","10,787"
"Sep 18, 1991","10,793","10,795","10,793","10,793","10,793","10,795","10,793"
"Oct 4, 1991","10,780","10,795","10,780","10,780","10,780","10,795","10,780"
"Oct 20, 1991","10,793","10,795","10,793","10,793","10,793","10,795","10,793"
"Mar 28, 1992","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Apr 13, 1992",0,"10,795",0,0,0,"10,795",0
"May 15, 1992","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"May 31, 1992","10,795","10,795","10,795","10,795","10,795","10,795","10,795"
"Jun 16, 1992",0,"10,795",0,0,0,"10,795",0
