system:time_start,blue,coastal,green,nir,red,sensor,swir22
"Apr 12, 1984",0.046,1,0.061,0.056,0.066,1,0.016
"May 7, 1984",0.04,1,0.05,0.04,0.05,1,0.008
"May 14, 1984",0.032,1,0.045,0.034,0.045,1,0.005
"May 23, 1984",0.068,1,0.079,0.063,0.078,1,0.012
"Jun 8, 1984",0.05,1,0.06,0.045,0.06,1,0.015
"Jun 24, 1984",0.078,1,0.088,0.074,0.087,1,0.026
"Jul 1, 1984",,1,,,,1,
"Jul 10, 1984",0.026,1,0.036,0.016,0.032,1,0.001
"Aug 27, 1984",0.032,1,0.041,0.024,0.037,1,0.008
"Oct 21, 1984",0.03,1,0.036,0.023,0.035,1,0.003
"Nov 6, 1984",0.044,1,0.054,0.051,0.054,1,0.016
"Dec 17, 1984",0.048,1,0.051,0.029,0.047,1,0.008
"Dec 24, 1984",0.044,1,0.048,0.03,0.047,1,0.004
"Jan 2, 1985",0.043,1,0.049,0.03,0.045,1,0.003
"Jan 9, 1985",0.035,1,0.048,0.04,0.048,1,0.003
"Jan 18, 1985",,1,,,,1,
"Jan 25, 1985",,1,,,,1,
"Feb 3, 1985",,1,,,,1,
"Mar 23, 1985",0.085,1,0.087,0.066,0.086,1,0.012
"Apr 8, 1985",0.059,1,0.071,0.048,0.069,1,0.012
"May 1, 1985",0.068,1,0.085,0.077,0.089,1,0.046
"Jun 18, 1985",,1,,,,1,
"Jul 29, 1985",0.033,1,0.037,0.024,0.037,1,0.005
"Aug 5, 1985",0.041,1,0.052,0.034,0.048,1,0.013
"Aug 14, 1985",0.038,1,0.048,0.033,0.048,1,0.009
"Aug 21, 1985",0.063,1,0.082,0.069,0.081,1,0.035
"Aug 30, 1985",,1,,,,1,
"Sep 6, 1985",0.033,1,0.044,0.027,0.041,1,0.002
"Sep 15, 1985",0.039,1,0.048,0.05,0.051,1,0.009
"Sep 22, 1985",0.026,1,0.036,0.023,0.036,1,0.002
"Oct 8, 1985",0.033,1,0.045,0.035,0.044,1,0.006
"Oct 17, 1985",,1,,,,1,
"Oct 24, 1985",0.046,1,0.057,0.045,0.053,1,0.015
"Nov 2, 1985",0.036,1,0.043,0.033,0.045,1,0.006
"Nov 9, 1985",0.043,1,0.05,0.036,0.051,1,0.007
"Nov 25, 1985",0.047,1,0.052,0.04,0.053,1,0.008
"Dec 4, 1985",0.048,1,0.054,0.038,0.05,1,0.013
"Jan 5, 1986",0.056,1,0.056,0.031,0.051,1,0.009
"Jan 12, 1986",,1,,,,1,
"Jan 28, 1986",0.041,1,0.051,0.052,0.055,1,0.008
"Feb 13, 1986",0.052,1,0.066,0.065,0.065,1,0.016
"Feb 22, 1986",,1,,,,1,
"Mar 1, 1986",0.067,1,0.071,0.078,0.076,1,0.023
"Mar 17, 1986",0.051,1,0.06,0.042,0.061,1,0.009
"Mar 26, 1986",,1,,,,1,
"Apr 11, 1986",0.034,1,0.044,0.032,0.045,1,0.002
"May 13, 1986",0.055,1,0.071,0.048,0.065,1,0.018
"May 29, 1986",0.038,1,0.049,0.032,0.047,1,0.008
"Jun 14, 1986",0.031,1,0.04,0.021,0.034,1,0.002
"Jun 30, 1986",0.036,1,0.045,0.026,0.039,1,0.009
"Jul 16, 1986",0.027,1,0.036,0.019,0.031,1,0.005
"Aug 1, 1986",0.036,1,0.042,0.023,0.04,1,0.008
"Aug 17, 1986",0.074,1,0.078,0.064,0.074,1,0.028
"Aug 24, 1986",0.051,1,0.06,0.031,0.051,1,0.004
"Sep 2, 1986",0.018,1,0.029,0.014,0.028,1,0.005
"Sep 18, 1986",0.032,1,0.04,0.023,0.041,1,0.005
"Sep 25, 1986",,1,,,,1,
"Oct 4, 1986",0.023,1,0.03,0.012,0.027,1,0.002
"Oct 20, 1986",0.031,1,0.038,0.033,0.039,1,0.006
"Nov 5, 1986",0.049,1,0.059,0.048,0.055,1,0.021
"Nov 28, 1986",0.036,1,0.052,0.04,0.044,1,0.018
