system:time_start,blue,coastal,green,nir,red,sensor,swir22
"Apr 12, 1984","22,937","25,920","22,937","22,937","22,937","25,920","22,937"
"May 7, 1984","24,627","25,920","24,627","24,627","24,627","25,920","24,627"
"May 14, 1984","24,858","25,920","24,858","24,858","24,858","25,920","24,858"
"May 23, 1984","23,168","25,920","23,168","23,168","23,168","25,920","23,168"
"Jun 8, 1984","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jun 24, 1984","3,126","25,920","3,126","3,126","3,126","25,920","3,126"
"Jul 1, 1984",0,"25,920",0,0,0,"25,920",0
"Jul 10, 1984","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Aug 27, 1984","16,639","25,920","16,639","16,639","16,639","25,920","16,639"
"Oct 21, 1984","8,947","25,920","8,947","8,947","8,947","25,920","8,947"
"Nov 6, 1984","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Dec 17, 1984","17,404","25,920","17,404","17,404","17,404","25,920","17,404"
"Dec 24, 1984","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jan 2, 1985","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jan 9, 1985","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jan 18, 1985",0,"25,920",0,0,0,"25,920",0
"Jan 25, 1985",0,"25,920",0,0,0,"25,920",0
"Feb 3, 1985",0,"25,920",0,0,0,"25,920",0
"Mar 23, 1985",44,"25,920",44,44,44,"25,920",44
"Apr 8, 1985","4,788","25,920","4,788","4,788","4,788","25,920","4,788"
"May 1, 1985","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jun 18, 1985",0,"25,920",0,0,0,"25,920",0
"Jul 29, 1985","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Aug 5, 1985","8,482","25,920","8,482","8,482","8,482","25,920","8,482"
"Aug 14, 1985","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Aug 21, 1985","11,985","25,920","11,985","11,985","11,985","25,920","11,985"
"Aug 30, 1985",0,"25,920",0,0,0,"25,920",0
"Sep 6, 1985","16,448","25,920","16,448","16,448","16,448","25,920","16,448"
"Sep 15, 1985","21,998","25,920","21,998","21,998","21,998","25,920","21,998"
"Sep 22, 1985","18,333","25,920","18,333","18,333","18,333","25,920","18,333"
"Oct 8, 1985","11,477","25,920","11,477","11,477","11,477","25,920","11,477"
"Oct 17, 1985",0,"25,920",0,0,0,"25,920",0
"Oct 24, 1985","7,255","25,920","7,255","7,255","7,255","25,920","7,255"
"Nov 2, 1985","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Nov 9, 1985","6,003","25,920","6,003","6,003","6,003","25,920","6,003"
"Nov 25, 1985","1,212","25,920","1,212","1,212","1,212","25,920","1,212"
"Dec 4, 1985",0,"25,920",0,0,0,"25,920",0
"Jan 5, 1986","12,176","25,920","12,176","12,176","12,176","25,920","12,176"
"Jan 12, 1986",0,"25,920",0,0,0,"25,920",0
"Jan 28, 1986","10,252","25,920","10,252","10,252","10,252","25,920","10,252"
"Feb 13, 1986","10,162","25,920","10,162","10,162","10,162","25,920","10,162"
"Feb 22, 1986",0,"25,920",0,0,0,"25,920",0
"Mar 1, 1986","8,671","25,920","8,671","8,671","8,671","25,920","8,671"
"Mar 17, 1986","3,804","25,920","3,804","3,804","3,804","25,920","3,804"
"Mar 26, 1986",0,"25,920",0,0,0,"25,920",0
"Apr 11, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"May 13, 1986","1,012","25,920","1,012","1,012","1,012","25,920","1,012"
"May 29, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jun 14, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jun 30, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jul 16, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Aug 1, 1986","24,032","25,920","24,032","24,032","24,032","25,920","24,032"
"Aug 17, 1986","1,038","25,920","1,038","1,038","1,038","25,920","1,038"
"Aug 24, 1986","1,998","25,920","1,998","1,998","1,998","25,920","1,998"
"Sep 2, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Sep 18, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Sep 25, 1986",0,"25,920",0,0,0,"25,920",0
"Oct 4, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Oct 20, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Nov 5, 1986","23,941","25,920","23,941","23,941","23,941","25,920","23,941"
"Nov 28, 1986","1,509","25,920","1,509","1,509","1,509","25,920","1,509"
"Dec 7, 1986","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Dec 14, 1986","10,377","25,920","10,377","10,377","10,377","25,920","10,377"
"Dec 23, 1986",0,"25,920",0,0,0,"25,920",0
"Dec 30, 1986",0,"25,920",0,0,0,"25,920",0
"Jan 8, 1987","25,918","25,920","25,918","25,918","25,918","25,920","25,918"
"Jan 15, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jan 24, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Feb 9, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Feb 16, 1987",0,"25,920",0,0,0,"25,920",0
"Feb 25, 1987",0,"25,920",0,0,0,"25,920",0
"Mar 4, 1987",0,"25,920",0,0,0,"25,920",0
"Mar 13, 1987","25,344","25,920","25,344","25,344","25,344","25,920","25,344"
"Mar 20, 1987","25,295","25,920","25,295","25,295","25,295","25,920","25,295"
"Apr 5, 1987","25,479","25,920","25,479","25,479","25,479","25,920","25,479"
"Apr 14, 1987","25,166","25,920","25,166","25,166","25,166","25,920","25,166"
"Apr 21, 1987","21,126","25,920","21,126","21,126","21,126","25,920","21,126"
"Apr 30, 1987","25,797","25,920","25,797","25,797","25,797","25,920","25,797"
"May 7, 1987","20,930","25,920","20,930","20,930","20,930","25,920","20,930"
"May 16, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"May 23, 1987",279,"25,920",279,279,279,"25,920",279
"Jun 1, 1987","24,556","25,920","24,556","24,556","24,556","25,920","24,556"
"Jun 8, 1987","25,498","25,920","25,498","25,498","25,498","25,920","25,498"
"Jun 17, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jun 24, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jul 3, 1987","25,510","25,920","25,510","25,510","25,510","25,920","25,510"
"Jul 10, 1987","25,913","25,920","25,913","25,913","25,913","25,920","25,913"
"Jul 19, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jul 26, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Aug 4, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Aug 11, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Aug 20, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Aug 27, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Sep 5, 1987",0,"25,920",0,0,0,"25,920",0
"Sep 12, 1987",0,"25,920",0,0,0,"25,920",0
"Oct 7, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Oct 14, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Oct 23, 1987","7,400","25,920","7,400","7,400","7,400","25,920","7,400"
"Oct 30, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Nov 15, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Nov 24, 1987","4,314","25,920","4,314","4,314","4,314","25,920","4,314"
"Dec 1, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Dec 17, 1987","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Dec 26, 1987","25,918","25,920","25,918","25,918","25,918","25,920","25,918"
"Jan 2, 1988","9,946","25,920","9,946","9,946","9,946","25,920","9,946"
"Jan 18, 1988","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Jan 27, 1988","25,516","25,920","25,516","25,516","25,516","25,920","25,516"
"Feb 12, 1988",0,"25,920",0,0,0,"25,920",0
"Feb 19, 1988",0,"25,920",0,0,0,"25,920",0
"Feb 28, 1988","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Mar 15, 1988","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Mar 22, 1988","22,159","25,920","22,159","22,159","22,159","25,920","22,159"
"Mar 31, 1988","19,595","25,920","19,595","19,595","19,595","25,920","19,595"
"Apr 7, 1988","24,376","25,920","24,376","24,376","24,376","25,920","24,376"
"Apr 16, 1988","25,920","25,920","25,920","25,920","25,920","25,920","25,920"
"Apr 23, 1988","25,868","25,920","25,868","25,868","25,868","25,920","25,868"
