system:time_start,blue,coastal,green,nir,red,sensor,swir22
"Apr 8, 1984",,1,,,,1,
"May 10, 1984",0.107,1,0.141,0.04,0.1,1,0.012
"May 19, 1984",0.324,1,0.734,0.762,0.724,1,0.406
"May 26, 1984",0.074,1,0.092,0.04,0.057,1,0.025
"Jun 4, 1984",,1,,,,1,
"Jun 11, 1984",0.035,1,0.049,0.022,0.028,1,0.009
"Jun 20, 1984",0.097,1,0.096,0.049,0.065,1,0.018
"Jun 27, 1984",0.094,1,0.12,0.06,0.096,1,0.029
"Jul 6, 1984",0.313,1,0.574,0.605,0.576,1,0.382
"Jul 13, 1984",0.041,1,0.053,0.017,0.029,1,0.002
"Jul 22, 1984",0.095,1,0.105,0.055,0.068,1,0.03
"Jul 29, 1984",0.055,1,0.074,0.029,0.046,1,0.016
"Aug 7, 1984",0.071,1,0.079,0.026,0.044,1,0.003
"Aug 14, 1984",0.044,1,0.055,0.019,0.03,1,0.001
"Sep 8, 1984",0.057,1,0.076,0.017,0.046,1,0.004
"Sep 24, 1984",0.103,1,0.104,0.041,0.07,1,0.009
"Oct 1, 1984",0.066,1,0.082,0.029,0.057,1,0.007
"Oct 10, 1984",1.602,1,0.623,0.624,0.622,1,0.408
"Oct 17, 1984",,1,,,,1,
"Nov 2, 1984",0.071,1,0.093,0.043,0.076,1,0.015
"Nov 27, 1984",,1,,,,1,
"Dec 4, 1984",0.115,1,0.135,0.049,0.112,1,0.012
"Jan 30, 1985",,1,,,,1,
"Feb 6, 1985",1.602,1,0.837,0.822,0.845,1,0.135
"Mar 26, 1985",0.062,1,0.081,0.023,0.048,1,0.006
"Apr 11, 1985",,1,,,,1,
"Apr 20, 1985",0.087,1,0.126,0.016,0.084,1,0.004
"Apr 27, 1985",0.069,1,0.095,0.027,0.062,1,0.012
"May 29, 1985",0.068,1,0.091,0.046,0.059,1,0.032
"Jun 7, 1985",0.082,1,0.094,0.055,0.067,1,0.029
"Jun 14, 1985",0.053,1,0.071,0.023,0.04,1,0.012
"Jun 23, 1985",0.058,1,0.076,0.017,0.041,1,0.005
"Jun 30, 1985",0.074,1,0.096,0.047,0.066,1,0.029
"Aug 1, 1985",0.049,1,0.073,0.033,0.049,1,0.016
"Aug 10, 1985",0.073,1,0.087,0.024,0.047,1,0.005
"Aug 17, 1985",0.06,1,0.082,0.044,0.055,1,0.028
"Aug 26, 1985",0.062,1,0.076,0.021,0.043,1,0.008
"Sep 2, 1985",0.107,1,0.11,0.06,0.081,1,0.025
"Sep 11, 1985",0.033,1,0.048,0.01,0.027,1,0.001
"Oct 4, 1985",,1,,,,1,
"Oct 13, 1985",0.068,1,0.075,0.027,0.045,1,0.008
"Oct 29, 1985",,1,,,,1,
"Nov 21, 1985",0.075,1,0.093,0.015,0.066,1,0.004
"Jan 8, 1986",0.171,1,0.172,0.093,0.128,1,0.005
"Jan 17, 1986",0.126,1,0.119,0.064,0.091,1,0.005
"Feb 25, 1986",1.602,1,0.678,0.605,0.675,1,0.024
"Mar 22, 1986",0.061,1,0.057,0.011,0.023,1,0.002
"Mar 29, 1986",0.099,1,0.114,0.038,0.066,1,0.018
"Apr 7, 1986",0.083,1,0.094,0.017,0.047,1,0.005
"Apr 14, 1986",,1,,,,1,
"May 16, 1986",,1,,,,1,
"May 25, 1986",,1,,,,1,
"Jun 1, 1986",0.057,1,0.069,0.033,0.04,1,0.022
"Jun 10, 1986",,1,,,,1,
"Jun 17, 1986",0.058,1,0.081,0.04,0.055,1,0.025
"Jun 26, 1986",,1,,,,1,
"Jul 3, 1986",0.059,1,0.079,0.033,0.053,1,0.022
"Jul 19, 1986",,1,,,,1,
"Jul 28, 1986",0.031,1,0.047,0.013,0.022,1,0.005
"Aug 4, 1986",0.05,1,0.067,0.025,0.038,1,0.008
"Aug 13, 1986",0.03,1,0.04,0.005,0.013,1,0
"Aug 20, 1986",0.077,1,0.092,0.041,0.062,1,0.012
"Aug 29, 1986",0.041,1,0.059,0.009,0.027,1,0.001
"Sep 14, 1986",,1,,,,1,
"Sep 21, 1986",,1,,,,1,
"Sep 30, 1986",,1,,,,1,
"Oct 7, 1986",0.053,1,0.07,0.014,0.041,1,0.003
"Oct 16, 1986",,1,,,,1,
"Oct 23, 1986",,1,,,,1,
"Nov 17, 1986",,1,,,,1,
"Dec 10, 1986",0.145,1,0.172,0.086,0.151,1,0.029
"Jan 4, 1987",0.207,1,0.203,0.174,0.182,1,0.19
"Jan 20, 1987",0.141,1,0.149,0.054,0.107,1,0.013
"Feb 5, 1987",0.115,1,0.106,0.045,0.071,1,0.018
"Feb 21, 1987",,1,,,,1,
"Mar 16, 1987",0.092,1,0.121,0.037,0.107,1,0.003
"Mar 25, 1987",0.12,1,0.144,0.022,0.09,1,0.002
"Apr 10, 1987",0.103,1,0.125,0.019,0.069,1,0.005
"Apr 17, 1987",,1,,,,1,
"Apr 26, 1987",0.09,1,0.118,0.023,0.084,1,0.005
"May 12, 1987",0.049,1,0.065,0.009,0.028,1,0.004
"May 28, 1987",0.05,1,0.058,0.005,0.02,1,0.001
"Jun 4, 1987",0.05,1,0.062,0.027,0.038,1,0.019
"Jun 13, 1987",0.024,1,0.033,0.006,0.01,1,0
"Jun 29, 1987",,1,,,,1,
"Jul 6, 1987",0.072,1,0.085,0.037,0.059,1,0.019
"Jul 15, 1987",0.056,1,0.074,0.018,0.04,1,0.007
"Jul 31, 1987",0.095,1,0.097,0.041,0.061,1,0.01
"Aug 7, 1987",0.039,1,0.052,0.016,0.028,1,0.008
"Aug 16, 1987",0.041,1,0.053,0.01,0.021,1,0.003
"Aug 23, 1987",0.039,1,0.061,0.019,0.036,1,0.009
"Sep 1, 1987",0.047,1,0.061,0.011,0.027,1,0.001
"Sep 8, 1987",0.178,1,0.186,0.091,0.133,1,0.017
"Sep 17, 1987",0.07,1,0.08,0.015,0.043,1,0.005
"Sep 24, 1987",0.139,1,0.142,0.062,0.098,1,0.009
"Oct 3, 1987",0.078,1,0.103,0.026,0.069,1,0.006
"Oct 10, 1987",,1,,,,1,
"Oct 19, 1987",0.066,1,0.072,0.026,0.043,1,0.007
"Oct 26, 1987",0.045,1,0.053,0.012,0.027,1,0.003
"Nov 4, 1987",0.101,1,0.109,0.044,0.066,1,0.02
"Nov 20, 1987",0.078,1,0.088,0.011,0.051,1,0.002
"Dec 29, 1987",0.111,1,0.141,0.071,0.131,1,0.013
"Jan 7, 1988",,1,,,,1,
"Jan 14, 1988",0.21,1,0.243,0.128,0.195,1,0.028
"Feb 8, 1988",,1,,,,1,
"Feb 24, 1988",,1,,,,1,
"Mar 2, 1988",0.094,1,0.101,0.057,0.084,1,0.021
"Mar 11, 1988",0.053,1,0.061,0.02,0.031,1,0.011
"Apr 12, 1988",0.055,1,0.063,0.008,0.026,1,0.001
"May 5, 1988",,1,,,,1,
"May 14, 1988",0.048,1,0.066,0.024,0.037,1,0.015
"May 21, 1988",0.059,1,0.067,0.023,0.039,1,0.007
"May 30, 1988",0.048,1,0.054,0.024,0.028,1,0.014
"Jun 6, 1988",0.06,1,0.071,0.036,0.041,1,0.025
"Jun 15, 1988",0.09,1,0.093,0.033,0.054,1,0.007
"Jun 22, 1988",,1,,,,1,
"Jul 1, 1988",0.047,1,0.058,0.017,0.032,1,0.005
"Jul 8, 1988",0.228,1,0.207,0.1,0.146,1,0.017
"Jul 17, 1988",,1,,,,1,
"Jul 24, 1988",0.037,1,0.049,0.009,0.021,1,0.001
"Aug 2, 1988",0.041,1,0.062,0.01,0.025,1,0.003
"Aug 18, 1988",,1,,,,1,
"Aug 25, 1988",0.056,1,0.075,0.026,0.049,1,0.013
"Sep 10, 1988",0.115,1,0.128,0.069,0.094,1,0.017
"Sep 26, 1988",0.062,1,0.078,0.035,0.051,1,0.015
"Oct 12, 1988",0.085,1,0.1,0.024,0.066,1,0.007
"Oct 28, 1988",0.086,1,0.106,0.041,0.083,1,0.009
"Dec 8, 1988",0.086,1,0.107,0.019,0.074,1,0.005
"Dec 31, 1988",0.139,1,0.149,0.055,0.108,1,0.005
"Jan 16, 1989",0.099,1,0.099,0.042,0.066,1,0.012
"Feb 1, 1989",,1,,,,1,
"Feb 10, 1989",0.185,1,0.194,0.096,0.156,1,0.004
"Feb 17, 1989",0.219,1,0.235,0.147,0.199,1,0.043
"Mar 21, 1989",0.06,1,0.073,0.015,0.043,1,0.006
"Apr 6, 1989",0.091,1,0.106,0.028,0.057,1,0.009
"Apr 15, 1989",0.068,1,0.083,0.021,0.039,1,0.001
"Apr 22, 1989",0.047,1,0.058,0.021,0.034,1,0.005
"May 8, 1989",0.064,1,0.076,0.027,0.042,1,0.012
"May 17, 1989",0.052,1,0.051,0.009,0.019,1,0.004
"May 24, 1989",0.07,1,0.079,0.047,0.057,1,0.036
"Jun 2, 1989",0.036,1,0.049,0.023,0.029,1,0.011
"Jun 9, 1989",0.177,1,0.191,0.094,0.142,1,0.033
"Jun 18, 1989",0.054,1,0.065,0.016,0.031,1,0.007
"Jun 25, 1989",0.085,1,0.096,0.051,0.064,1,0.029
"Jul 4, 1989",,1,,,,1,
"Jul 11, 1989",0.048,1,0.053,0.027,0.032,1,0.016
"Jul 27, 1989",0.063,1,0.076,0.033,0.048,1,0.016
"Aug 5, 1989",0.053,1,0.07,0.016,0.035,1,0.005
"Aug 12, 1989",0.067,1,0.077,0.023,0.041,1,0.003
"Aug 21, 1989",0.04,1,0.055,0.01,0.027,1,0.005
"Aug 28, 1989",,1,,,,1,
"Sep 6, 1989",,1,,,,1,
"Sep 22, 1989",,1,,,,1,
"Sep 29, 1989",0.052,1,0.065,0.019,0.034,1,0.006
"Oct 8, 1989",0.065,1,0.076,0.017,0.037,1,0.002
