system:time_start,blue,coastal,green,nir,red,sensor,swir22
"Apr 8, 1984",0,"21,204",0,0,0,"21,204",0
"May 10, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"May 19, 1984",60,"21,204",60,60,60,"21,204",60
"May 26, 1984","19,593","21,204","19,593","19,593","19,593","21,204","19,593"
"Jun 4, 1984",0,"21,204",0,0,0,"21,204",0
"Jun 11, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jun 20, 1984","13,125","21,204","13,125","13,125","13,125","21,204","13,125"
"Jun 27, 1984","20,011","21,204","20,011","20,011","20,011","21,204","20,011"
"Jul 6, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jul 13, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jul 22, 1984","17,734","21,204","17,734","17,734","17,734","21,204","17,734"
"Jul 29, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Aug 7, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Aug 14, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Sep 8, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Sep 24, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Oct 1, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Oct 10, 1984","5,073","21,204","5,073","5,073","5,073","21,204","5,073"
"Oct 17, 1984",0,"21,204",0,0,0,"21,204",0
"Nov 2, 1984","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Nov 27, 1984",0,"21,204",0,0,0,"21,204",0
"Dec 4, 1984","1,099","21,204","1,099","1,099","1,099","21,204","1,099"
"Jan 30, 1985",0,"21,204",0,0,0,"21,204",0
"Feb 6, 1985","7,666","21,204","7,666","7,666","7,666","21,204","7,666"
"Mar 26, 1985","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Apr 11, 1985",0,"21,204",0,0,0,"21,204",0
"Apr 20, 1985","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Apr 27, 1985","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"May 29, 1985","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jun 7, 1985","6,787","21,204","6,787","6,787","6,787","21,204","6,787"
"Jun 14, 1985","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jun 23, 1985","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jun 30, 1985","17,798","21,204","17,798","17,798","17,798","21,204","17,798"
"Aug 1, 1985","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Aug 10, 1985","16,618","21,204","16,618","16,618","16,618","21,204","16,618"
"Aug 17, 1985","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Aug 26, 1985","3,082","21,204","3,082","3,082","3,082","21,204","3,082"
"Sep 2, 1985",190,"21,204",190,190,190,"21,204",190
"Sep 11, 1985","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Oct 4, 1985",0,"21,204",0,0,0,"21,204",0
"Oct 13, 1985","8,366","21,204","8,366","8,366","8,366","21,204","8,366"
"Oct 29, 1985",0,"21,204",0,0,0,"21,204",0
"Nov 21, 1985","20,660","21,204","20,660","20,660","20,660","21,204","20,660"
"Jan 8, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jan 17, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Feb 25, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Mar 22, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Mar 29, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Apr 7, 1986","21,197","21,204","21,197","21,197","21,197","21,204","21,197"
"Apr 14, 1986",0,"21,204",0,0,0,"21,204",0
"May 16, 1986",0,"21,204",0,0,0,"21,204",0
"May 25, 1986",0,"21,204",0,0,0,"21,204",0
"Jun 1, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jun 10, 1986",0,"21,204",0,0,0,"21,204",0
"Jun 17, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jun 26, 1986",0,"21,204",0,0,0,"21,204",0
"Jul 3, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Jul 19, 1986",0,"21,204",0,0,0,"21,204",0
"Jul 28, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Aug 4, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
"Aug 13, 1986","21,190","21,204","21,190","21,190","21,190","21,204","21,190"
"Aug 20, 1986","21,204","21,204","21,204","21,204","21,204","21,204","21,204"
