ID,region,lat,long,Date,dif_days,tss,chla,secchi,sensor,Class,CA_insitu,Blue_insitu,Green_insitu,Red_insitu,NIR_insitu,CA_satellite,Blue_satellite,Green_satellite,Red_satellite,NIR_satellite
AGID_1036,Germany,54.00438,8.34186,9/1/2005,0,3.16,4.61,NA,TM,2,NA,0.004434847,0.006614275,0.00379625,0.000452053,0.01,0.011224402,0.013115163,0.007337839,0.004081529
AGID_1465,US,30.409,-86.522,11/9/2010,1,NA,NA,NA,TM,NA,NA,0.003863974,0.007888506,0.001819131,9.95E-08,0.01,0.005779712,0.008860951,0.001805613,0.001858134
AGID_1577,US,30.431,-86.429,11/9/2010,1,NA,NA,NA,TM,NA,NA,0.002145466,0.002826375,0.00117324,1.01E-07,0.01,0.004492944,0.00493062,0.001324169,0.002409606
AGID_1629,US,30.441,-86.36,11/9/2010,1,NA,NA,NA,TM,NA,NA,0.002616117,0.003501023,0.001550219,1.34E-07,0.01,0.005429571,0.005639655,0.003171162,0.002838528
AGID_1681,US,30.452,-86.233,11/9/2010,1,NA,NA,NA,TM,NA,NA,0.004048263,0.006139221,0.00348966,3.45E-07,0.01,0.008151916,0.010541628,0.005911015,0.005946029
AGID_1721,US,30.474,-86.138,11/9/2010,1,NA,NA,NA,TM,NA,NA,0.003244941,0.006435248,0.005554253,8.94E-07,0.01,0.009176078,0.012231057,0.011023071,0.011915931
AGID_287,Japan,35.97333333,140.4755,2/18/2006,0,39.3,89.4725,NA,TM,5,NA,0.013053117,0.021874292,0.019407653,0.009017421,0.01,0.01529479,0.022227579,0.017001727,0.00878217
AGID_998,Indonesia,-0.88917,117.507,8/20/2009,0,94,17.4,0.2,TM,7,NA,0.013548433,0.02446903,0.026257628,0.009564253,0.01,0.032574242,0.048330582,0.049976244,0.03155008
GID_1174,US,41.22194,-101.69028,7/26/2008,2,8,13.7,1.16,TM,2,NA,0.006591369,0.009807789,0.006120443,0.001446331,0.01,0.010804233,0.017579459,0.009114804,0.006086085
GID_1174,US,41.22194,-101.69028,7/26/2008,2,8,13.7,1.16,TM,2,NA,0.006591369,0.009807789,0.006120443,0.001446331,0.01,0.010462846,0.017369375,0.008904719,0.005911015
GID_1191,US,41.21344,-101.66298,8/2/2008,2,7.78,4.82,0.66,TM,2,NA,0.011219788,0.014956787,0.010050436,0.002150169,0.01,0.012624966,0.019312657,0.013500318,0.008799677
GID_1730,Belgium,51.2237,2.85783,4/22/2010,0,14,20,NA,TM,4,NA,0.012159122,0.020084016,0.015111647,0.002541189,0.01,0.013500318,0.022910354,0.012922586,0.006086085
GID_2786,China,31.23525,120.32315,10/9/2008,0,11.25,3.71628,0.75,TM,2,NA,0.018403034,0.02351527,0.016187564,0.001972551,0.01,0.025650206,0.033134468,0.021422255,0.010042677
GID_2787,China,31.232039,120.34564,10/9/2008,0,10,5.0127,0.8,TM,2,NA,0.019423354,0.024026699,0.015959602,0.001751668,0.01,0.024599784,0.031278721,0.018533593,0.011600804
