"","secchi.x","CA_insitu","blue_insit","green_insi","red_insitu","nir_insitu","CA","Blue","Green","Red","NIR","local.x","GLORIA_ID","region.x","sensor","Class","region"
"1",NA,NA,0.004434847292763,0.006614274690259,0.003796250377867,0.000452052782369,0.01,0.011224402361556,0.013115163085488,0.007337838651252,0.004081528515592,"Nechad_Matchups_North_Sea","AGID_1036","Germany","TM","2","Germany"
"2",NA,NA,0.003863974395409,0.007888506137885,0.001819130983897,9.9498479e-08,0.01,0.005779711758382,0.008860951456641,0.001805612829378,0.001858133960598,"PACE","AGID_1465","US","TM",NA,"US"
"3",NA,NA,0.002145465824709,0.002826374735928,0.001173239831566,1.01393296e-07,0.01,0.004492944043484,0.004930620136987,0.001324169126525,0.002409605838411,"PACE","AGID_1577","US","TM",NA,"US"
"4",NA,NA,0.002616117372142,0.003501022927153,0.001550218839631,1.34243671e-07,0.01,0.00542957088358,0.005639655408461,0.003171162241106,0.002838528410044,"PACE","AGID_1629","US","TM",NA,"US"
"5",NA,NA,0.004048262661048,0.006139221094183,0.003489660496568,3.44509743e-07,0.01,0.008151916185167,0.010541627655692,0.005911014586433,0.005946028673913,"PACE","AGID_1681","US","TM",NA,"US"
"6",NA,NA,0.003244940766591,0.006435247898066,0.005554252550904,8.93716527e-07,0.01,0.009176078243963,0.012231057376612,0.011023071358545,0.01191593058929,"PACE","AGID_1721","US","TM",NA,"US"
"7",NA,NA,0.013053116873294,0.021874291562666,0.019407652582189,0.009017421448524,0.01,0.015294790031131,0.022227579352214,0.017001726795792,0.008782169759811,"AC_Bunkei","AGID_287","Japan","TM","5","Japan"
"8",0.2,NA,0.013548432881735,0.024469029717781,0.026257628051081,0.009564253494375,0.01,0.032574242202618,0.048330581568716,0.049976243680286,0.031550080143822,"Nechad_Matchups_North_Sea","AGID_998","Indonesia","TM","7","Indonesia"
"9",1.16,NA,0.006591369227698,0.009807789048205,0.006120442509055,0.00144633124029,0.01,0.010804233311793,0.017579459239215,0.009114803590873,0.006086085023834,"McConaughy Lake","GID_1174","United States of America (the)","TM","2","US"
"10",1.16,NA,0.006591369227698,0.009807789048205,0.006120442509055,0.00144633124029,0.01,0.010462845958861,0.017369374714334,0.008904719065992,0.005911014586433,"McConaughy Lake","GID_1174","United States of America (the)","TM","2","US"
"11",0.66,NA,0.011219787631687,0.014956787413774,0.010050436444415,0.002150168844535,0.01,0.012624965860765,0.019312656569486,0.01350031804777,0.008799676803551,"Ogallala Lake","GID_1191","United States of America (the)","TM","2","US"
"12",NA,NA,0.012159122374431,0.020084015903621,0.015111647198815,0.002541188530551,0.01,0.01350031804777,0.022910354058078,0.012922585604346,0.006086085023834,"English Channel","GID_1730","Belgium","TM","4","Belgium"
"13",0.75,NA,0.018403033540196,0.023515270256736,0.016187564355798,0.001972551169689,0.01,0.025650206403405,0.033134467602302,0.021422255340169,0.010042676909099,"Taihu","GID_2786","China","TM","2","China"
"14",0.8,NA,0.019423354381293,0.024026699243681,0.015959602407186,0.001751668323885,0.01,0.024599783778999,0.03127872096585,0.018533593123051,0.011600803801968,"Taihu","GID_2787","China","TM","2","China"
"15",0.7,NA,0.017710375181905,0.02270873494884,0.015267490317201,0.0017229904906,0.01,0.023960776682485,0.031445037881381,0.02153605112448,0.01508470550625,"Taihu","GID_2788","China","TM","2","China"
"16",0.7,NA,0.018813711667061,0.023934946049086,0.016948298036616,0.002283000187983,0.01,0.024573523213389,0.03125246040024,0.021360980687079,0.014918388590719,"Taihu","GID_2789","China","TM","2","China"
"17",1.7,NA,0.009738908663358,0.011231978644499,0.007670111045498,0.002212673340303,0.01,0.017098015536362,0.022166304699124,0.014226860362985,0.013228958869798,"Taihu","GID_2790","China","TM","1","China"
"18",0.4,NA,0.030331854653398,0.040217729886651,0.033869491239272,0.00791045409747,0.01,0.031655122406263,0.042238130347158,0.031541326621952,0.015382325249832,"Taihu","GID_2791","China","TM","4","China"
"19",0.55,NA,0.020774832742407,0.026865404201081,0.020161210047049,0.00329327025646,0.01,0.027365896689936,0.037082305965696,0.026131650106258,0.013867965966312,"Taihu","GID_2792","China","TM","4","China"
"20",0.45,NA,0.021682189016357,0.029027280836177,0.02315295430741,0.003533430263176,0.01,0.028407565792472,0.038474115943035,0.028460086923693,0.013395275785329,"Taihu","GID_2793","China","TM","4","China"
"21",0.75,NA,0.01677515785357,0.02030455718595,0.013287556954974,0.001595396073522,0.01,0.028950284148416,0.036977263703255,0.023295509020361,0.012161029201652,"Taihu","GID_2794","China","TM","2","China"
"22",1.7,NA,0.016806323512094,0.020862639671095,0.014286119812276,0.001296778688267,0.01,0.01674787466156,0.021343473643339,0.01511096607186,0.018708663560452,"Taihu","GID_2799","China","TM","2","China"
"23",1.75,NA,0.009876944551396,0.011174346780428,0.007477638904095,0.001450319326515,0.01,0.016476515483588,0.021194663771548,0.015023430853159,0.015426092859182,"Taihu","GID_2804","China","TM","1","China"
"24",NA,NA,0.007877332565646,0.014116942210037,0.011647674282438,0.00312520411633,0.01,0.015224761856171,0.023488086501502,0.017894586026537,0.009876359993568,"Lake Kasumigaura","GID_3003","Japan","TM","5","Japan"
"25",NA,NA,0.012424016363713,0.022542570185486,0.019965306300485,0.006450543757416,0.01,0.016170142218137,0.022271346961564,0.017019233839532,0.008773416237941,"Lake Kasumigaura","GID_3007","Japan","TM","5","Japan"
"26",NA,NA,0.010582015180736,0.019258465338064,0.016672576216003,0.00489128626928,0.01,0.017045494405142,0.025746495143976,0.018402290295,0.01034905017455,"Lake Kasumigaura","GID_3008","Japan","TM","5","Japan"
"27",NA,NA,0.014150302547291,0.024715264027039,0.023615290683051,0.006216090103173,0.01,0.011373212233347,0.017798297285967,0.017964614201498,0.00697894425458,"Altamaha River, GA","GID_4796","United States of America (the)","TM","4","US"
"28",NA,NA,0.008905939397843,0.015067085475354,0.01343681744861,0.002871212289025,0.01,0.01184590241433,0.018104670551419,0.018200959291989,0.007197782301331,"Altamaha River, GA","GID_4799","United States of America (the)","TM","4","US"
